building,timestamp,kwh
Building_A,2024-01-01,126
Building_A,2024-01-02,113
Building_A,2024-01-03,154
Building_A,2024-01-04,151
Building_A,2024-01-05,159
Building_A,2024-01-06,154
Building_A,2024-01-07,167
Building_A,2024-01-08,124
Building_A,2024-01-09,117
Building_A,2024-01-10,180
Building_A,2024-01-11,109
Building_A,2024-01-12,194
Building_A,2024-01-13,175
Building_A,2024-01-14,186
Building_A,2024-01-15,185
Building_A,2024-01-16,102
Building_A,2024-01-17,107
Building_A,2024-01-18,112
Building_A,2024-01-19,159
Building_A,2024-01-20,143
Building_A,2024-01-21,127
Building_A,2024-01-22,164
Building_A,2024-01-23,141
Building_A,2024-01-24,169
Building_A,2024-01-25,110
Building_A,2024-01-26,155
Building_A,2024-01-27,163
Building_A,2024-01-28,170
Building_A,2024-01-29,114
Building_A,2024-01-30,177
Building_A,2024-01-31,166
Building_A,2024-02-01,114
Building_A,2024-02-02,135
Building_A,2024-02-03,147
Building_A,2024-02-04,106
Building_A,2024-02-05,171
Building_A,2024-02-06,180
Building_A,2024-02-07,148
Building_A,2024-02-08,182
Building_A,2024-02-09,170
Building_A,2024-02-10,115
Building_A,2024-02-11,169
Building_A,2024-02-12,197
Building_A,2024-02-13,136
Building_A,2024-02-14,120
Building_A,2024-02-15,182
Building_A,2024-02-16,153
Building_A,2024-02-17,109
Building_A,2024-02-18,196
Building_A,2024-02-19,155
Building_A,2024-02-20,141
Building_A,2024-02-21,106
Building_A,2024-02-22,188
Building_A,2024-02-23,107
Building_A,2024-02-24,189
Building_A,2024-02-25,181
Building_A,2024-02-26,126
Building_A,2024-02-27,158
Building_A,2024-02-28,187
Building_A,2024-02-29,170
Building_A,2024-03-01,175
Building_A,2024-03-02,178
Building_A,2024-03-03,191
Building_A,2024-03-04,168
Building_A,2024-03-05,105
Building_A,2024-03-06,147
Building_A,2024-03-07,173
Building_A,2024-03-08,176
Building_A,2024-03-09,195
Building_A,2024-03-10,101
Building_A,2024-03-11,166
Building_A,2024-03-12,199
Building_A,2024-03-13,177
Building_A,2024-03-14,199
Building_A,2024-03-15,175
Building_A,2024-03-16,173
Building_A,2024-03-17,155
Building_A,2024-03-18,188
Building_A,2024-03-19,121
Building_A,2024-03-20,197
Building_A,2024-03-21,136
Building_A,2024-03-22,119
Building_A,2024-03-23,124
Building_A,2024-03-24,126
Building_A,2024-03-25,169
Building_A,2024-03-26,167
Building_A,2024-03-27,127
Building_A,2024-03-28,137
Building_A,2024-03-29,153
Building_A,2024-03-30,101
Building_A,2024-03-31,168
Building_A,2024-04-01,131
Building_A,2024-04-02,176
Building_A,2024-04-03,105
Building_A,2024-04-04,145
Building_A,2024-04-05,177
Building_A,2024-04-06,194
Building_A,2024-04-07,152
Building_A,2024-04-08,149
Building_A,2024-04-09,177
Building_A,2024-04-10,173
Building_A,2024-04-11,112
Building_A,2024-04-12,124
Building_A,2024-04-13,133
Building_A,2024-04-14,156
Building_A,2024-04-15,107
Building_A,2024-04-16,163
Building_A,2024-04-17,172
Building_A,2024-04-18,128
Building_A,2024-04-19,150
Building_A,2024-04-20,132
Building_A,2024-04-21,190
Building_A,2024-04-22,100
Building_A,2024-04-23,153
Building_A,2024-04-24,117
Building_A,2024-04-25,173
Building_A,2024-04-26,191
Building_A,2024-04-27,180
Building_A,2024-04-28,182
Building_A,2024-04-29,139
Building_A,2024-04-30,123
Building_A,2024-05-01,159
Building_A,2024-05-02,129
Building_A,2024-05-03,152
Building_A,2024-05-04,163
Building_A,2024-05-05,151
Building_A,2024-05-06,194
Building_A,2024-05-07,191
Building_A,2024-05-08,134
Building_A,2024-05-09,191
Building_A,2024-05-10,183
Building_A,2024-05-11,135
Building_A,2024-05-12,109
Building_A,2024-05-13,179
Building_A,2024-05-14,136
Building_A,2024-05-15,142
Building_A,2024-05-16,183
Building_A,2024-05-17,124
Building_A,2024-05-18,143
Building_A,2024-05-19,117
Building_A,2024-05-20,195
Building_A,2024-05-21,101
Building_A,2024-05-22,168
Building_A,2024-05-23,149
Building_A,2024-05-24,167
Building_A,2024-05-25,181
Building_A,2024-05-26,178
Building_A,2024-05-27,174
Building_A,2024-05-28,146
Building_A,2024-05-29,176
Building_A,2024-05-30,125
Building_A,2024-05-31,111
Building_A,2024-06-01,138
Building_A,2024-06-02,161
Building_A,2024-06-03,198
Building_A,2024-06-04,117
Building_A,2024-06-05,135
Building_A,2024-06-06,131
Building_A,2024-06-07,141
Building_A,2024-06-08,160
Building_A,2024-06-09,161
Building_A,2024-06-10,132
Building_A,2024-06-11,193
Building_A,2024-06-12,123
Building_A,2024-06-13,108
Building_A,2024-06-14,193
Building_A,2024-06-15,144
Building_A,2024-06-16,184
Building_A,2024-06-17,104
Building_A,2024-06-18,176
Building_A,2024-06-19,115
Building_A,2024-06-20,166
Building_A,2024-06-21,146
Building_A,2024-06-22,104
Building_A,2024-06-23,174
Building_A,2024-06-24,197
Building_A,2024-06-25,158
Building_A,2024-06-26,109
Building_A,2024-06-27,117
Building_A,2024-06-28,113
Building_A,2024-06-29,114
Building_A,2024-06-30,169
Building_A,2024-07-01,198
Building_A,2024-07-02,147
Building_A,2024-07-03,135
Building_A,2024-07-04,174
Building_A,2024-07-05,122
Building_A,2024-07-06,186
Building_A,2024-07-07,129
Building_A,2024-07-08,143
Building_A,2024-07-09,193
Building_A,2024-07-10,117
Building_A,2024-07-11,127
Building_A,2024-07-12,159
Building_A,2024-07-13,180
Building_A,2024-07-14,197
Building_A,2024-07-15,163
Building_A,2024-07-16,169
Building_A,2024-07-17,130
Building_A,2024-07-18,156
Building_A,2024-07-19,112
Building_A,2024-07-20,118
Building_A,2024-07-21,101
Building_A,2024-07-22,172
Building_A,2024-07-23,161
Building_A,2024-07-24,177
Building_A,2024-07-25,172
Building_A,2024-07-26,142
Building_A,2024-07-27,118
Building_A,2024-07-28,164
Building_A,2024-07-29,183
Building_A,2024-07-30,183
Building_A,2024-07-31,122
Building_A,2024-08-01,160
Building_A,2024-08-02,142
Building_A,2024-08-03,109
Building_A,2024-08-04,146
Building_A,2024-08-05,109
Building_A,2024-08-06,126
Building_A,2024-08-07,100
Building_A,2024-08-08,138
Building_A,2024-08-09,122
Building_A,2024-08-10,114
Building_A,2024-08-11,160
Building_A,2024-08-12,110
Building_A,2024-08-13,185
Building_A,2024-08-14,119
Building_A,2024-08-15,174
Building_A,2024-08-16,199
Building_A,2024-08-17,189
Building_A,2024-08-18,112
Building_A,2024-08-19,133
Building_A,2024-08-20,184
Building_A,2024-08-21,192
Building_A,2024-08-22,129
Building_A,2024-08-23,181
Building_A,2024-08-24,183
Building_A,2024-08-25,143
Building_A,2024-08-26,141
Building_A,2024-08-27,110
Building_A,2024-08-28,116
Building_A,2024-08-29,147
Building_A,2024-08-30,194
Building_A,2024-08-31,122
Building_A,2024-09-01,164
Building_A,2024-09-02,103
Building_A,2024-09-03,110
Building_A,2024-09-04,121
Building_A,2024-09-05,185
Building_A,2024-09-06,166
Building_A,2024-09-07,167
Building_A,2024-09-08,170
Building_A,2024-09-09,199
Building_A,2024-09-10,196
Building_A,2024-09-11,129
Building_A,2024-09-12,116
Building_A,2024-09-13,125
Building_A,2024-09-14,177
Building_A,2024-09-15,117
Building_A,2024-09-16,196
Building_A,2024-09-17,138
Building_A,2024-09-18,187
Building_A,2024-09-19,176
Building_A,2024-09-20,155
Building_A,2024-09-21,101
Building_A,2024-09-22,102
Building_A,2024-09-23,150
Building_A,2024-09-24,110
Building_A,2024-09-25,175
Building_A,2024-09-26,190
Building_A,2024-09-27,179
Building_A,2024-09-28,106
Building_A,2024-09-29,192
Building_A,2024-09-30,175
Building_A,2024-10-01,163
Building_A,2024-10-02,145
Building_A,2024-10-03,185
Building_A,2024-10-04,142
Building_A,2024-10-05,192
Building_A,2024-10-06,120
Building_A,2024-10-07,178
Building_A,2024-10-08,188
Building_A,2024-10-09,179
Building_A,2024-10-10,199
Building_A,2024-10-11,121
Building_A,2024-10-12,107
Building_A,2024-10-13,173
Building_A,2024-10-14,172
Building_A,2024-10-15,190
Building_A,2024-10-16,106
Building_A,2024-10-17,131
