building,timestamp,kwh
Building_B,2024-01-01,178
Building_B,2024-01-02,172
Building_B,2024-01-03,107
Building_B,2024-01-04,127
Building_B,2024-01-05,123
Building_B,2024-01-06,108
Building_B,2024-01-07,150
Building_B,2024-01-08,161
Building_B,2024-01-09,149
Building_B,2024-01-10,180
Building_B,2024-01-11,137
Building_B,2024-01-12,123
Building_B,2024-01-13,194
Building_B,2024-01-14,139
Building_B,2024-01-15,145
Building_B,2024-01-16,110
Building_B,2024-01-17,107
Building_B,2024-01-18,113
Building_B,2024-01-19,138
Building_B,2024-01-20,154
Building_B,2024-01-21,185
Building_B,2024-01-22,110
Building_B,2024-01-23,180
Building_B,2024-01-24,155
Building_B,2024-01-25,144
Building_B,2024-01-26,195
Building_B,2024-01-27,138
Building_B,2024-01-28,167
Building_B,2024-01-29,198
Building_B,2024-01-30,188
Building_B,2024-01-31,172
Building_B,2024-02-01,138
Building_B,2024-02-02,126
Building_B,2024-02-03,174
Building_B,2024-02-04,106
Building_B,2024-02-05,132
Building_B,2024-02-06,117
Building_B,2024-02-07,154
Building_B,2024-02-08,104
Building_B,2024-02-09,115
Building_B,2024-02-10,176
Building_B,2024-02-11,151
Building_B,2024-02-12,172
Building_B,2024-02-13,167
Building_B,2024-02-14,145
Building_B,2024-02-15,151
Building_B,2024-02-16,171
Building_B,2024-02-17,118
Building_B,2024-02-18,122
Building_B,2024-02-19,152
Building_B,2024-02-20,156
Building_B,2024-02-21,153
Building_B,2024-02-22,177
Building_B,2024-02-23,199
Building_B,2024-02-24,191
Building_B,2024-02-25,159
Building_B,2024-02-26,182
Building_B,2024-02-27,196
Building_B,2024-02-28,155
Building_B,2024-02-29,184
Building_B,2024-03-01,168
Building_B,2024-03-02,127
Building_B,2024-03-03,118
Building_B,2024-03-04,131
Building_B,2024-03-05,141
Building_B,2024-03-06,171
Building_B,2024-03-07,151
Building_B,2024-03-08,143
Building_B,2024-03-09,187
Building_B,2024-03-10,131
Building_B,2024-03-11,168
Building_B,2024-03-12,108
Building_B,2024-03-13,134
Building_B,2024-03-14,130
Building_B,2024-03-15,194
Building_B,2024-03-16,108
Building_B,2024-03-17,160
Building_B,2024-03-18,127
Building_B,2024-03-19,191
Building_B,2024-03-20,136
Building_B,2024-03-21,177
Building_B,2024-03-22,197
Building_B,2024-03-23,188
Building_B,2024-03-24,159
Building_B,2024-03-25,196
Building_B,2024-03-26,169
Building_B,2024-03-27,183
Building_B,2024-03-28,104
Building_B,2024-03-29,143
Building_B,2024-03-30,161
Building_B,2024-03-31,170
Building_B,2024-04-01,159
Building_B,2024-04-02,138
Building_B,2024-04-03,120
Building_B,2024-04-04,171
Building_B,2024-04-05,112
Building_B,2024-04-06,124
Building_B,2024-04-07,192
Building_B,2024-04-08,109
Building_B,2024-04-09,134
Building_B,2024-04-10,165
Building_B,2024-04-11,184
Building_B,2024-04-12,186
Building_B,2024-04-13,164
Building_B,2024-04-14,146
Building_B,2024-04-15,102
Building_B,2024-04-16,100
Building_B,2024-04-17,106
Building_B,2024-04-18,105
Building_B,2024-04-19,127
Building_B,2024-04-20,148
Building_B,2024-04-21,121
Building_B,2024-04-22,189
Building_B,2024-04-23,104
Building_B,2024-04-24,174
Building_B,2024-04-25,198
Building_B,2024-04-26,193
Building_B,2024-04-27,169
Building_B,2024-04-28,181
Building_B,2024-04-29,120
Building_B,2024-04-30,184
Building_B,2024-05-01,184
